Date,Details,Beach Name/Location,Organization,Items,Volunteer Hours,Weight
10/04/2021,Recap,Garden City Beach,1871,264,1.5,1.64
10/02/2021,Recap,Briarcliffe Acres,1797,1292,12,105.28
10/02/2021,Recap,Folly Beach,1979,25,0.25,0.11
10/02/2021,Recap,North Myrtle Beach,1918,726,88.25,24.29
10/02/2021,Recap,Atlantic Beach,Individual (1057),0,0,NA
10/02/2021,Recap,Windy Hill Beach,1622,1257,12,97.83
10/02/2021,Recap,Windy Hill Beach,Individual (1298),0,0.25,NA
09/29/2021,Recap,Hilton Head Island,Individual (1060),0,0.25,NA
09/28/2021,Recap,Folly Beach,1979,150,2.75,22.42
09/27/2021,Recap,Folly Beach,1979,169,1,15.65
09/27/2021,Recap,Isle of Palms,1922,63,2.5,1.79
09/25/2021,Recap,Sullivans Island,Individual (1269),26,2,3.11
09/25/2021,Recap,Sullivans Island,1542,39,3.25,1.82
09/22/2021,Recap,Folly Beach,1979,146,1,11.93
09/21/2021,Recap,Folly Beach,1979,190,0.5,14.96
09/18/2021,Recap,Sullivans Island,Individual (1110),22,1.5,4.91
09/16/2021,Recap,Folly Beach,1979,75,0.25,5.59
09/10/2021,Recap,Folly Beach,1979,91,8.75,5.98
09/07/2021,Recap,Folly Beach,1979,113,0.25,14.42
09/06/2021,Recap,Folly Beach,1979,342,0.25,34.85
09/05/2021,Recap,Folly Beach,1979,75,3,1.1
09/05/2021,Recap,Sullivans Island,Individual (1157),4,0.5,0.46
09/04/2021,Recap,Folly Beach,1979,150,3,18.77
09/03/2021,Recap,Folly Beach,1979,122,0.25,7.54
09/02/2021,Recap,Folly Beach,1979,302,10.5,21.24
08/30/2021,Recap,Folly Beach,1979,181,6,14.46
08/29/2021,Recap,Folly Beach,1979,184,0.25,12.97
08/28/2021,Recap,Folly Beach,1979,5,1.5,0.02
08/27/2021,Recap,Folly Beach,1979,170,1,12.62
08/26/2021,Recap,Folly Beach,1979,13,0.25,0.44
08/26/2021,Recap,Folly Beach,Individual (1468),122,5,8.36
08/24/2021,Recap,Folly Beach,1979,85,3.75,6.05
08/23/2021,Recap,Folly Beach,1979,214,8.75,18.77
08/22/2021,Recap,Folly Beach,1979,179,9.5,7.14
08/20/2021,Recap,Folly Beach,1979,114,9,9.56
08/20/2021,Recap,Garden City Beach,Individual (1004),65,0.25,2.95
08/19/2021,Recap,Folly Beach,1979,178,8.25,11.23
08/17/2021,Recap,Folly Beach,1979,57,0.25,0.94
08/17/2021,Recap,Surfside Beach,Individual (1004),120,0.25,3.73
08/16/2021,Recap,Folly Beach,1979,108,12.25,8.67
08/16/2021,Recap,Garden City Beach,Individual (1004),104,0.25,1.84
08/15/2021,Recap,Folly Beach,1979,137,13,14.5
08/15/2021,Recap,Isle of Palms,1939,200,3.75,19.45
08/14/2021,Recap,Folly Beach,1979,155,8,9.69
08/14/2021,Recap,Folly Beach,Individual (1468),163,0.25,9.9
08/14/2021,Recap,Isle of Palms,1939,41,1,5.22
08/13/2021,Recap,Folly Beach,1979,306,9.75,26.06
08/12/2021,Recap,Folly Beach,1979,331,12,23.82
08/11/2021,Recap,Garden City Beach,Individual (1369),0,0.25,NA
08/11/2021,Recap,Garden City Beach,1871,675,10,10.85
08/11/2021,Recap,Isle of Palms,Individual (1470),117,2,47.4
08/10/2021,Recap,Folly Beach,Individual (1468),194,0.25,13.53
08/09/2021,Recap,Dewees Island,Individual (1408),0,0,NA
08/09/2021,Recap,Folly Beach,1979,164,0.75,11.94
08/09/2021,Recap,Isle of Palms,1939,62,0.5,28.46
08/08/2021,Recap,Folly Beach,1979,90,2.75,5.31
08/08/2021,Recap,Sullivans Island,Individual (1157),5,0.75,0.75
08/06/2021,Recap,Folly Beach,Individual (1220),0,0.5,NA
08/06/2021,Recap,Kiawah Island,Individual (1372),0,0.5,NA
08/05/2021,Recap,Folly Beach,1979,33,0,0.15
08/04/2021,Recap,Kiawah Island,Individual (1372),1,0.25,0
08/03/2021,Recap,Folly Beach,1979,161,0.25,8.97
08/02/2021,Recap,Folly Beach,1979,317,10,12.65
08/01/2021,Recap,Folly Beach,1979,275,7.25,12.65
08/01/2021,Recap,Isle of Palms,1939,58,1,2.25
08/01/2021,Recap,Sullivans Island,Individual (1157),16,1.25,4.9
07/31/2021,Recap,Folly Beach,1979,259,9.75,10.64
07/31/2021,Recap,Folly Beach,1869,21,3.75,1.51
07/30/2021,Recap,Folly Beach,1979,415,10,23.2
07/29/2021,Recap,Folly Beach,1979,1,11,0
07/28/2021,Recap,North Myrtle Beach,Individual (1109),25,1,0.78
07/27/2021,Recap,Folly Beach,1979,106,3.25,5.74
07/26/2021,Recap,Folly Beach,1979,369,10.5,27.8
07/25/2021,Recap,Folly Beach,1979,434,1.5,22.88
07/25/2021,Recap,Folly Beach,Individual (1468),202,0.25,12.79
07/25/2021,Recap,Sullivans Island,Individual (1157),13,1,3.54
07/24/2021,Recap,Folly Beach,1979,207,8,13.4
07/24/2021,Recap,Isle of Palms,1939,48,2,7.03
07/23/2021,Recap,Folly Beach,1979,514,3.5,31.8
07/22/2021,Recap,Folly Beach,1979,1,9.25,0.07
07/21/2021,Recap,Isle of Palms,1939,21,4,0.44
07/20/2021,Recap,Folly Beach,1979,124,0.25,7.47
07/19/2021,Recap,Folly Beach,1979,164,0.75,9.32
07/18/2021,Recap,Folly Beach,1979,144,9,10.61
07/18/2021,Recap,Garden City Beach,Individual (1004),90,0.25,1.27
07/18/2021,Recap,Myrtle Beach,1742,898,15.75,46.41
07/18/2021,Recap,Sullivans Island,Individual (1157),27,1.25,4.69
07/16/2021,Recap,Folly Beach,1979,284,4.25,18.04
07/15/2021,Recap,Folly Beach,1979,333,2.5,28.75
07/14/2021,Recap,Folly Beach,1783,52,0.75,4.63
07/14/2021,Recap,Folly Beach,1979,862,0.25,26.27
07/14/2021,Recap,Folly Beach,Individual (1355),14,1.5,1.33
07/12/2021,Recap,Folly Beach,1979,0,0.25,NA
07/12/2021,Recap,Isle of Palms,Individual (1487),98,2.25,7.33
07/11/2021,Recap,Folly Beach,1979,389,1.25,24.76
07/11/2021,Recap,Sullivans Island,Individual (1157),16,1.25,1.2
07/10/2021,Recap,Folly Beach,1979,0,1.25,NA
07/10/2021,Recap,Folly Beach,Individual (1468),227,1,14.28
07/10/2021,Recap,Isle of Palms,1939,57,6,9.3
07/09/2021,Recap,Folly Beach,1979,189,0.25,11.76
07/08/2021,Recap,Folly Beach,1979,314,2.5,21.16
07/08/2021,Recap,Isle of Palms,1939,16,0.25,0.64
07/07/2021,Recap,Isle of Palms,1939,43,1.25,7.27
07/06/2021,Recap,Folly Beach,1979,232,5,9
07/06/2021,Recap,Folly Beach,Individual (1468),226,1.5,8.6
07/05/2021,Recap,Folly Beach,1979,303,11.25,10.29
07/04/2021,Recap,Folly Beach,1979,511,9.5,17.17
07/04/2021,Recap,Isle of Palms,1939,255,2.5,22.1
07/04/2021,Recap,Sullivans Island,Individual (1157),19,1.25,2.51
07/03/2021,Recap,Folly Beach,1979,1,11,0
07/03/2021,Recap,Isle of Palms,1939,47,2,5.6
07/02/2021,Recap,Folly Beach,1979,438,13.75,11.06
07/01/2021,Recap,Folly Beach,1979,459,10.75,20.98
06/30/2021,Recap,Folly Beach,1979,1152,1.5,61.39
06/30/2021,Recap,Isle of Palms,1939,50,1.5,2.83
06/29/2021,Recap,Folly Beach,1979,4,4,0.11
06/28/2021,Recap,Folly Beach,1979,2,0.25,0.39
06/27/2021,Recap,Folly Beach,1979,2,0.25,0.04
06/27/2021,Recap,Isle of Palms,1939,157,3,11.41
06/27/2021,Recap,Sullivans Island,Individual (1157),25,0.5,4.91
06/26/2021,Recap,Isle of Palms,1939,24,0.5,2.7
06/22/2021,Recap,Folly Beach,1979,1,0.25,0.03
06/20/2021,Recap,Garden City Beach,Individual (1004),72,0.25,3.08
06/20/2021,Recap,Isle of Palms,1939,92,1.5,3.47
06/20/2021,Recap,Sullivans Island,Individual (1157),4,0.25,0.95
06/19/2021,Recap,Isle of Palms,1939,13,1,1.45
06/18/2021,Recap,Folly Beach,1979,3,10.75,0.09
06/15/2021,Recap,Folly Beach,1979,1,0.25,0
06/14/2021,Recap,Folly Beach,Individual (1427),66,0.25,6.6
06/14/2021,Recap,Isle of Palms,1939,10,0.25,0.1
06/13/2021,Recap,Folly Beach,1979,6,9.75,0.13
06/13/2021,Recap,Isle of Palms,1939,218,3.75,20.93
06/12/2021,Recap,Folly Beach,1979,3,0.25,0.03
06/12/2021,Recap,Isle of Palms,1939,9,9,0.28
06/10/2021,Recap,Isle of Palms,Individual (1470),0,0.25,NA
06/09/2021,Recap,Garden City Beach,1870,350,0.25,20.86
06/09/2021,Recap,Isle of Palms,1939,36,2,10.48
06/07/2021,Recap,North Myrtle Beach,Individual (1109),12,1,0.34
06/06/2021,Recap,Folly Beach,1979,2,0.25,0.06
06/06/2021,Recap,Isle of Palms,1939,181,24.5,24.04
06/06/2021,Recap,Sullivans Island,Individual (1157),5,0.25,0.1
06/05/2021,Recap,Folly Beach,1979,6,0.75,0.09
06/05/2021,Recap,Isle of Palms,1939,33,1.5,3.35
06/04/2021,Recap,Isle of Palms,1939,18,0.25,4.21
06/03/2021,Recap,Isle of Palms,1939,0,0.5,NA
06/02/2021,Recap,Folly Beach,1979,3,0.25,0.83
06/02/2021,Recap,Isle of Palms,1939,37,14,2.1
05/31/2021,Recap,Folly Beach,1979,3,0.25,0.1
05/31/2021,Recap,Folly Beach,Individual (1472),47,1,0.89
05/31/2021,Recap,Isle of Palms,1939,0,0,NA
05/30/2021,Recap,Folly Beach,1979,16,0.25,1.75
05/29/2021,Recap,Isle of Palms,1939,28,0.75,2.5
05/25/2021,Recap,Folly Beach,Individual (1442),40,0.75,3.33
05/21/2021,Recap,Edisto Beach,Individual (1399),43,1.5,3.21
05/09/2021,Recap,Folly Beach,Individual (1472),61,1,3.6
05/09/2021,Recap,Surfside Beach,Individual (1004),122,0.25,2.86
05/01/2021,Recap,North Myrtle Beach,1918,103,1,5.42
05/01/2021,Recap,Sullivans Island,1542,65,6,7.14
05/01/2021,Recap,Atlantic Beach,Individual (1054),8,1,0.26
04/30/2021,Recap,Folly Beach,Individual (1355),45,1.5,0.83
04/30/2021,Recap,Sullivans Island,Individual (1434),100,3,4.31
04/30/2021,Recap,Sullivans Island,1748,118,2.5,5.13
04/28/2021,Recap,Folly Beach,Individual (1472),33,0.5,2.1
04/28/2021,Recap,Surfside Beach,Individual (1004),85,0.25,2.3
04/23/2021,Recap,Folly Beach,1979,0,0,NA
04/22/2021,Recap,Folly Beach,1887,172,7.25,7.07
04/22/2021,Recap,Folly Beach,1979,1678,10,47.39
04/22/2021,Recap,Folly Beach,Individual (1442),245,3.25,12.76
04/22/2021,Recap,Sullivans Island,Individual (1442),334,44,16.51
04/22/2021,Recap,Sullivans Island,1724,413,51.25,14.21
04/20/2021,Recap,Folly Beach,1979,1671,7.5,100.6
04/20/2021,Recap,Folly Beach,Individual (1427),1,0.25,0
04/19/2021,Recap,Folly Beach,1783,30,0.25,1.75
04/16/2021,Recap,Hilton Head Island,Individual (1358),60,0.5,7
04/16/2021,Recap,Isle of Palms,1922,61,2.5,3.67
04/11/2021,Recap,Folly Beach,1979,212,0.25,14.96
04/10/2021,Recap,Folly Beach,1979,176,5,20.99
04/10/2021,Recap,Folly Beach,Individual (1468),37,0.25,2.85
04/10/2021,Recap,Windy Hill Beach,Individual (1468),0,0.25,NA
04/09/2021,Recap,Folly Beach,1979,183,4.25,15.94
04/08/2021,Recap,Folly Beach,1979,119,5.5,8.11
04/08/2021,Recap,Folly Beach,Individual (1427),1,0.25,0.03
04/08/2021,Recap,Hilton Head Island,Individual (1358),14,1,1.65
04/07/2021,Recap,Folly Beach,1979,302,8.75,19.65
04/06/2021,Recap,Folly Beach,1979,90,4.25,9.09
04/06/2021,Recap,Folly Beach,Individual (1468),182,2.75,7.45
04/05/2021,Recap,North Myrtle Beach,Individual (1109),12,1,1.08
04/05/2021,Recap,Windy Hill Beach,Individual (1296),93,0.25,3.07
03/20/2021,Recap,Surfside Beach,Individual (1004),33,0.25,0.95
03/15/2021,Recap,Sullivans Island,1691,973,12.5,82.74
03/10/2021,Recap,Folly Beach,Individual (1091),130,1.5,5.97
03/07/2021,Recap,Isle of Palms,Individual (1226),204,32,8.45
03/06/2021,Recap,Morris Island,1821,19,1.25,1.98
03/03/2021,Recap,Folly Beach,Individual (1427),52,0.25,2.01
02/28/2021,Recap,Sullivans Island,1869,134,7.5,4.31
02/27/2021,Recap,Myrtle Beach,1589,1,3,0
02/25/2021,Recap,Folly Beach,Individual (1035),9,1,0.05
02/18/2021,Recap,Surfside Beach,Individual (1004),2,0.25,0.08
02/06/2021,Recap,Folly Beach,1979,1,2.5,0.03
01/31/2021,Recap,Folly Beach,Individual (1427),2,27,0.13
01/24/2021,Recap,Surfside Beach,Individual (1004),14,0.25,0.97
